n;RN;AVL;B-1;B-5;B-10
432;4875;12356;9395;7481;7385
433;4872;12402;9387;7451;7408
434;4873;12404;9449;7491;7405
435;4898;12484;9433;7521;7442
436;4918;12477;9476;7528;7453
437;4928;12504;9498;7547;7488
438;4969;12589;9500;7556;7493
439;4987;12570;9569;7599;7517
440;4977;12577;9569;7610;7546
441;5004;12613;9605;7621;7554
442;5007;12647;9644;7652;7585
443;5023;12717;9650;7673;7614
444;5022;12746;9686;7678;7609
445;5015;12735;9678;7692;7636
446;5064;12822;9738;7719;7656
447;5044;12825;9718;7732;7681
448;5080;12829;9805;7772;7676
449;5085;12890;9800;7765;7717
450;5080;12912;9806;7800;7731
451;5122;12932;9826;7823;7744
452;5123;13014;9839;7822;7778
453;5154;13029;9862;7838;7781
454;5180;13071;9957;7873;7812
455;5169;13083;9945;7889;7812
456;5189;13118;9980;7920;7853
457;5232;13203;9992;7938;7875
458;5196;13169;9988;7941;7888
459;5245;13247;10028;7944;7905
460;5234;13260;10015;7975;7921
461;5219;13235;10096;8013;7957
462;5245;13354;10095;8009;7948
463;5257;13299;10124;8038;7993
464;5280;13425;10181;8051;8005
465;5279;13445;10163;8070;8033
466;5306;13442;10182;8099;8039
467;5306;13490;10218;8121;8070
468;5323;13480;10287;8130;8109
469;5352;13547;10261;8170;8102
470;5354;13609;10307;8178;8110
471;5387;13691;10351;8185;8153
472;5368;13672;10350;8223;8157
473;5405;13699;10378;8222;8189
474;5431;13724;10421;8250;8199
475;5426;13811;10421;8264;8207
476;5370;13730;10439;8295;8260
477;5472;13841;10460;8296;8262
478;5450;13831;10535;8341;8293
479;5489;13917;10505;8343;8284
480;5461;13938;10508;8377;8315
481;5502;13974;10585;8393;8341
482;5516;13989;10590;8410;8351
483;5537;14016;10623;8421;8374
484;5534;14026;10665;8427;8398
485;5542;14083;10636;8451;8418
486;5520;14088;10724;8480;8430
487;5605;14164;10701;8509;8456
488;5602;14245;10736;8503;8494
489;5610;14257;10771;8535;8491
490;5604;14282;10785;8556;8520
491;5643;14329;10816;8567;8543
492;5649;14332;10839;8602;8561
493;5642;14369;10857;8607;8554
494;5674;14414;10913;8631;8588
495;5656;14385;10947;8637;8616
496;5682;14441;10929;8664;8651
497;5718;14528;10990;8702;8661
498;5724;14501;10988;8711;8661
499;5765;14617;11025;8738;8702
500;5757;14606;11059;8750;8698
501;5760;14663;11101;8756;8725
502;5735;14685;11095;8793;8752
503;5770;14673;11135;8820;8775
504;5817;14666;11139;8822;8791
505;5850;14725;11129;8869;8796
506;5829;14765;11179;8869;8834
507;5837;14819;11245;8882;8854
508;5853;14812;11221;8896;8874
509;5868;14918;11281;8926;8885
510;5841;14905;11255;8927;8890
511;5901;14991;11308;8947;8921
512;5925;15065;11336;8975;8930
513;5919;15049;11392;8988;8953
514;5938;15103;11396;9009;8997
515;5937;15094;11416;9021;8995
516;5907;15095;11419;9060;9020
517;5983;15144;11480;9052;9038
518;5958;15172;11504;9117;9075
519;6008;15230;11523;9105;9087
520;5971;15266;11555;9121;9118
521;6066;15324;11577;9144;9112
522;6012;15351;11563;9167;9143
523;6026;15364;11631;9203;9170
524;6094;15470;11610;9209;9163
525;6095;15491;11674;9205;9194
526;6110;15505;11712;9245;9209
527;6064;15509;11690;9271;9251
528;6096;15569;11756;9281;9259
529;6128;15630;11780;9301;9291
530;6138;15688;11780;9321;9305
531;6169;15657;11844;9340;9316
532;6150;15660;11856;9357;9333
533;6198;15667;11833;9389;9353
534;6218;15761;11904;9385;9370
535;6171;15748;11895;9410;9409
536;6207;15788;11932;9452;9417
537;6262;15823;11925;9462;9427
538;6270;15944;11953;9470;9441
539;6239;15875;12008;9484;9464
540;6282;15978;12081;9510;9492
541;6265;15926;12060;9548;9507
542;6273;15990;12080;9538;9529
543;6280;16025;12117;9574;9531
544;6306;16135;12155;9598;9563
545;6341;16143;12139;9597;9581
546;6329;16112;12176;9651;9607
547;6369;16161;12240;9642;9643
548;6382;16235;12240;9673;9654
549;6363;16199;12281;9677;9680
550;6416;16299;12242;9701;9689
551;6379;16293;12358;9738;9711
552;6393;16357;12342;9765;9728
553;6417;16392;12365;9758;9745
554;6423;16411;12390;9771;9753
