n;RN;AVL;B-1;B-5;B-10
738;8937;22898;17066;13444;13449
739;8905;22813;17203;13456;13515
740;8897;22862;17172;13470;13523
741;8987;22950;17235;13507;13530
742;8994;22997;17191;13514;13533
743;8995;22993;17251;13551;13576
744;8949;23027;17239;13591;13604
745;9030;23110;17342;13608;13609
746;9012;23062;17282;13595;13629
747;9002;23163;17371;13624;13664
748;9040;23126;17413;13656;13665
749;9075;23205;17378;13657;13694
750;9096;23344;17389;13686;13688
751;9087;23306;17430;13736;13729
752;9119;23303;17510;13725;13743
753;9159;23387;17482;13782;13784
754;9135;23365;17542;13781;13788
755;9147;23451;17557;13808;13812
756;9161;23433;17606;13802;13846
757;9209;23563;17616;13856;13857
758;9211;23530;17660;13831;13865
759;9240;23598;17716;13896;13878
760;9226;23577;17734;13912;13911
761;9231;23640;17767;13922;13922
762;9238;23697;17733;13937;13945
763;9268;23754;17791;13960;13953
764;9243;23723;17755;13994;14014
765;9332;23876;17852;14008;14014
766;9279;23812;17801;14045;14034
767;9309;23777;17906;14039;14048
768;9333;23904;17942;14062;14062
769;9298;23883;17885;14092;14103
770;9366;23921;17949;14090;14144
771;9312;23917;17988;14154;14147
772;9378;24068;18063;14154;14166
773;9374;24112;18087;14173;14164
774;9380;24039;18079;14200;14196
775;9409;24104;18079;14194;14236
776;9428;24175;18142;14274;14245
777;9404;24203;18153;14250;14256
778;9419;24196;18134;14308;14278
779;9464;24295;18142;14319;14309
780;9453;24302;18245;14319;14322
781;9546;24360;18234;14353;14353
782;9484;24386;18309;14351;14352
783;9551;24427;18292;14398;14375
784;9533;24464;18328;14422;14428
785;9551;24440;18329;14407;14407
786;9627;24561;18375;14433;14444
787;9564;24486;18398;14473;14452
788;9615;24678;18393;14493;14489
789;9574;24577;18425;14530;14510
790;9625;24670;18464;14507;14517
791;9609;24690;18578;14530;14527
792;9663;24770;18552;14573;14563
793;9674;24745;18504;14577;14579
794;9653;24838;18550;14623;14604
795;9691;24867;18558;14625;14617
796;9661;24917;18686;14628;14634
797;9708;24920;18664;14674;14685
798;9726;24921;18752;14714;14703
799;9794;25014;18659;14730;14712
800;9738;25076;18772;14748;14723
801;9765;25042;18700;14753;14725
802;9760;25061;18894;14773;14774
803;9799;25158;18815;14782;14764
804;9775;25026;18790;14840;14804
805;9838;25236;18848;14848;14832
806;9835;25271;18866;14884;14845
807;9846;25369;18909;14882;14873
808;9879;25278;18980;14911;14892
809;9924;25350;18946;14928;14902
810;9913;25321;18971;14914;14921
811;9897;25395;19004;14950;14936
812;9940;25461;19063;14994;14961
813;9928;25445;19080;15022;14992
814;9956;25502;19127;15054;15011
815;9963;25490;19161;15015;15003
816;9967;25556;19137;15086;15045
817;9988;25686;19143;15104;15064
818;9997;25644;19229;15138;15091
819;10053;25750;19267;15148;15109
820;10042;25713;19318;15181;15135
821;10024;25779;19295;15171;15151
822;10029;25845;19261;15220;15155
823;10041;25770;19312;15203;15205
824;10058;25818;19448;15246;15214
825;10092;25936;19407;15270;15243
826;10089;25942;19402;15275;15250
827;10151;26012;19445;15311;15294
828;10158;26072;19471;15315;15305
829;10129;26116;19449;15355;15322
830;10136;26072;19500;15318;15335
831;10162;26184;19492;15387;15364
832;10199;26182;19555;15387;15379
833;10197;26220;19574;15419;15410
834;10259;26223;19655;15455;15433
835;10270;26326;19671;15452;15419
836;10215;26335;19680;15497;15464
837;10257;26328;19641;15535;15485
