n;RN;AVL;B-1;B-5;B-10
309;863;3247;2564;2482;2455
310;873;3278;2580;2471;2459
311;859;3272;2586;2485;2466
312;859;3276;2579;2512;2465
313;866;3286;2603;2513;2488
314;873;3288;2604;2511;2490
315;884;3319;2621;2539;2494
316;884;3325;2631;2556;2516
317;887;3340;2643;2556;2520
318;889;3368;2653;2563;2530
319;881;3379;2682;2571;2548
320;895;3370;2673;2578;2550
321;891;3397;2686;2587;2557
322;901;3402;2693;2608;2561
323;886;3408;2710;2622;2579
324;903;3427;2704;2630;2582
325;914;3437;2720;2630;2592
326;910;3442;2741;2651;2607
327;917;3466;2738;2645;2618
328;915;3455;2763;2665;2624
329;911;3484;2762;2682;2629
330;919;3494;2769;2692;2638
331;920;3503;2777;2703;2667
332;919;3499;2793;2705;2647
333;918;3532;2816;2730;2673
334;938;3565;2820;2710;2685
335;930;3549;2815;2738;2670
336;947;3583;2841;2758;2704
337;952;3568;2839;2750;2699
338;939;3588;2861;2764;2719
339;960;3607;2862;2767;2730
340;938;3611;2885;2798;2749
341;961;3630;2892;2796;2735
342;953;3645;2900;2802;2746
343;965;3651;2923;2829;2767
344;963;3662;2912;2811;2775
345;943;3671;2934;2819;2787
346;971;3690;2940;2839;2782
347;974;3692;2946;2836;2795
348;977;3709;2943;2834;2812
349;992;3713;2952;2859;2819
350;978;3737;2978;2863;2824
351;970;3755;3008;2892;2843
352;992;3748;2974;2901;2833
353;991;3770;3001;2905;2867
354;989;3777;3033;2914;2870
355;976;3807;3025;2913;2866
356;994;3806;3025;2928;2894
357;1002;3815;3033;2938;2899
358;997;3858;3058;2967;2908
359;1028;3869;3055;2978;2920
360;1016;3863;3089;2966;2934
361;1000;3885;3092;2983;2940
362;1017;3876;3089;3004;2948
363;1007;3882;3108;3013;2945
364;1030;3919;3129;3017;2964
365;1018;3923;3148;3025;2970
366;1024;3930;3135;3037;2988
367;1035;3954;3143;3043;2981
368;1017;3961;3152;3062;3007
369;1030;3955;3158;3055;3007
370;1033;3976;3165;3051;3023
371;1040;4004;3206;3081;3027
372;1049;4006;3188;3074;3032
373;1047;3994;3195;3101;3039
374;1044;4022;3216;3122;3063
375;1037;4043;3229;3108;3058
376;1043;4047;3240;3113;3074
377;1055;4055;3245;3136;3071
378;1059;4084;3257;3151;3087
379;1068;4085;3267;3145;3103
380;1070;4113;3287;3167;3106
381;1052;4120;3300;3190;3131
382;1065;4124;3302;3195;3144
383;1059;4126;3299;3211;3144
384;1065;4155;3326;3191;3156
385;1083;4158;3319;3221;3154
386;1067;4184;3349;3217;3168
387;1089;4184;3357;3201;3157
388;1071;4199;3344;3237;3190
389;1111;4221;3360;3248;3201
390;1103;4221;3353;3247;3197
391;1110;4247;3378;3270;3216
392;1086;4244;3395;3271;3237
393;1095;4257;3416;3302;3227
394;1103;4266;3417;3290;3232
395;1113;4297;3433;3312;3263
396;1111;4320;3457;3302;3265
397;1121;4318;3462;3338;3262
398;1114;4322;3465;3335;3284
399;1121;4333;3490;3342;3291
400;1116;4360;3488;3361;3300
401;1124;4356;3506;3369;3307
402;1113;4373;3489;3361;3327
403;1130;4379;3542;3385;3323
404;1129;4390;3526;3365;3335
405;1130;4407;3516;3402;3352
406;1152;4432;3542;3399;3357
407;1139;4422;3549;3420;3369
408;1139;4456;3570;3420;3374
409;1145;4467;3569;3436;3386
410;1141;4472;3611;3464;3403
411;1164;4483;3605;3456;3396
412;1163;4504;3600;3450;3418
413;1159;4508;3639;3478;3429
414;1163;4525;3634;3473;3424
415;1166;4549;3655;3476;3451
416;1174;4551;3649;3509;3462
417;1177;4564;3647;3503;3458
418;1190;4579;3682;3511;3476
419;1188;4599;3678;3525;3477
420;1181;4588;3694;3540;3501
421;1189;4622;3728;3558;3505
422;1188;4608;3701;3572;3492
423;1184;4634;3713;3579;3519
424;1205;4671;3747;3576;3526
425;1183;4661;3743;3577;3543
426;1186;4664;3753;3606;3555
427;1184;4676;3777;3592;3560
428;1182;4686;3762;3617;3575
429;1201;4704;3820;3622;3576
430;1198;4723;3789;3637;3591
431;1207;4754;3822;3654;3605
432;1198;4753;3808;3671;3614
433;1214;4762;3836;3665;3617
434;1206;4765;3856;3668;3620
435;1216;4804;3863;3697;3639
436;1232;4798;3864;3697;3641
437;1235;4796;3895;3693;3649
438;1239;4828;3887;3712;3667
439;1229;4828;3887;3721;3665
440;1237;4848;3914;3710;3673
441;1222;4879;3929;3739;3704
442;1252;4860;3934;3752;3696
443;1228;4873;3972;3768;3719
444;1245;4883;3930;3773;3723
445;1239;4902;3952;3784;3726
446;1243;4921;3957;3772;3736
447;1261;4930;3948;3790;3753
448;1251;4957;4009;3811;3758
449;1260;4952;3995;3819;3768
450;1283;4973;3991;3833;3769
451;1276;4979;4005;3842;3781
452;1261;4988;4049;3833;3804
453;1261;5012;4039;3855;3810
454;1282;5037;4067;3859;3819
455;1287;5041;4073;3870;3828
456;1271;5045;4071;3885;3844
457;1283;5069;4102;3901;3858
458;1277;5060;4088;3906;3865
459;1293;5092;4111;3908;3880
460;1308;5074;4116;3931;3865
461;1279;5121;4123;3939;3876
462;1291;5110;4139;3947;3892
463;1285;5136;4161;3949;3902
464;1295;5131;4136;3976;3919
465;1299;5146;4137;3969;3935
466;1306;5180;4158;3986;3925
467;1311;5169;4220;3997;3945
468;1315;5191;4188;3990;3945
469;1323;5215;4212;4005;3954
470;1318;5213;4231;4021;3965
471;1323;5218;4229;4029;3986
472;1324;5266;4231;4042;3983
473;1321;5255;4249;4037;3992
474;1322;5259;4235;4054;4026
475;1327;5301;4271;4071;4029
476;1331;5276;4305;4072;4031
477;1334;5295;4280;4101;4053
478;1355;5324;4291;4102;4060
479;1336;5325;4304;4093;4071
480;1339;5341;4314;4117;4079
481;1356;5368;4335;4109;4097
482;1348;5361;4315;4129;4078
483;1367;5395;4387;4147;4097
484;1370;5396;4400;4155;4123
485;1362;5425;4383;4164;4120
486;1382;5445;4373;4192;4144
487;1358;5449;4396;4185;4154
488;1377;5470;4438;4199;4156
489;1366;5454;4391;4231;4170
490;1370;5486;4427;4221;4176
491;1374;5482;4451;4216;4191
492;1368;5483;4458;4239;4201
493;1395;5532;4437;4261;4211
494;1381;5524;4456;4254;4219
495;1388;5524;4463;4260;4222
496;1378;5536;4516;4283;4229
497;1387;5543;4513;4295;4248
498;1393;5574;4511;4297;4262
499;1386;5595;4520;4309;4263
500;1383;5598;4539;4323;4271
501;1409;5617;4535;4351;4297
502;1404;5636;4579;4345;4307
503;1404;5644;4579;4330;4304
504;1408;5651;4570;4371;4318
505;1424;5676;4598;4355;4333
506;1415;5663;4609;4376;4344
507;1427;5689;4599;4405;4361
508;1443;5694;4607;4397;4366
509;1424;5709;4623;4403;4392
510;1424;5739;4633;4420;4383
511;1444;5735;4675;4433;4384
512;1433;5752;4638;4457;4404
513;1428;5776;4652;4446;4410
514;1450;5782;4715;4455;4415
515;1449;5789;4689;4472;4433
516;1454;5825;4683;4486;4447
517;1457;5817;4671;4501;4462
518;1465;5823;4718;4485;4456
519;1447;5838;4718;4519;4483
520;1468;5859;4721;4515;4495
521;1455;5859;4757;4541;4508
522;1460;5877;4725;4539;4504
523;1458;5894;4799;4558;4513
524;1474;5900;4764;4561;4521
525;1474;5934;4754;4586;4530
526;1464;5928;4824;4599;4554
527;1471;5925;4797;4621;4564
528;1489;5987;4826;4595;4562
529;1478;5959;4869;4628;4572
530;1488;5990;4812;4627;4579
531;1490;5995;4851;4612;4598
532;1506;6001;4896;4670;4604
533;1477;6019;4863;4649;4607
534;1492;6029;4887;4672;4637
535;1479;6036;4918;4707;4637
536;1508;6069;4916;4689;4646
537;1529;6089;4912;4699;4657
538;1506;6081;4919;4721;4675
539;1509;6107;4928;4718;4673
540;1514;6127;4938;4739;4707
541;1520;6127;4947;4745;4703
542;1528;6117;4974;4747;4715
543;1530;6115;5001;4755;4743
544;1516;6141;4999;4761;4713
545;1510;6164;5007;4776;4752
546;1520;6180;5024;4795;4752
547;1523;6189;5007;4808;4759
548;1539;6224;5026;4834;4792
549;1541;6222;5028;4809;4772
550;1538;6223;5031;4843;4773
551;1528;6249;5064;4853;4803
552;1555;6246;5059;4850;4802
553;1563;6257;5101;4865;4808
554;1555;6289;5067;4878;4861
555;1546;6286;5086;4874;4836
556;1556;6315;5103;4900;4869
557;1570;6356;5134;4910;4872
558;1575;6333;5128;4918;4884
559;1570;6345;5157;4939;4879
560;1584;6378;5153;4936;4899
561;1583;6384;5145;4945;4912
562;1580;6388;5163;4959;4924
563;1581;6420;5186;4974;4937
564;1598;6410;5202;4985;4940
565;1577;6424;5173;4978;4949
566;1582;6424;5228;4992;4993
567;1594;6461;5223;5021;4962
568;1593;6447;5230;5037;4975
569;1607;6489;5245;5053;4979
570;1594;6480;5238;5041;5001
571;1605;6484;5256;5072;5013
572;1604;6533;5301;5078;5022
573;1587;6540;5292;5063;5036
574;1618;6524;5291;5109;5050
575;1621;6539;5323;5090;5119
576;1607;6591;5325;5123;5087
577;1597;6567;5330;5135;5089
578;1621;6596;5336;5150;5072
579;1630;6600;5372;5145;5122
580;1618;6612;5393;5157;5133
581;1643;6661;5370;5181;5123
582;1632;6637;5359;5170;5143
583;1633;6651;5390;5192;5158
584;1619;6674;5402;5193;5158
585;1642;6673;5421;5217;5188
586;1640;6712;5456;5223;5200
587;1644;6713;5452;5235;5194
588;1653;6723;5434;5241;5201
589;1668;6733;5468;5269;5186
590;1660;6742;5469;5261;5219
591;1650;6732;5468;5305;5257
592;1673;6756;5500;5304;5241
593;1658;6785;5486;5295;5284
594;1664;6803;5497;5296;5285
595;1669;6825;5506;5321;5283
596;1665;6826;5535;5307;5287
597;1658;6837;5532;5345;5320
