n;RN;AVL;B-1;B-5;B-10
697;8368;13979;16021;12597;12622
698;8431;13989;16050;12635;12670
699;8348;14008;16060;12615;12688
700;8405;14040;16109;12663;12711
701;8444;14038;16192;12681;12726
702;8412;14042;16202;12690;12733
703;8460;14061;16169;12739;12768
704;8467;14089;16223;12719;12772
705;8485;14169;16282;12789;12787
706;8504;14116;16249;12795;12795
707;8523;14212;16304;12809;12868
708;8501;14215;16297;12804;12874
709;8490;14154;16360;12842;12884
710;8548;14228;16375;12871;12916
711;8532;14275;16413;12883;12925
712;8554;14254;16400;12891;12927
713;8570;14317;16490;12954;12947
714;8585;14337;16406;12937;12990
715;8568;14328;16534;12954;13018
716;8631;14410;16509;13020;13015
717;8661;14451;16559;12999;13036
718;8661;14441;16560;13014;13066
719;8690;14533;16614;13047;13082
720;8701;14540;16595;13100;13090
721;8688;14486;16670;13082;13110
722;8674;14511;16713;13104;13133
723;8730;14569;16706;13132;13163
724;8695;14577;16718;13152;13172
725;8744;14568;16748;13172;13209
726;8729;14637;16792;13168;13232
727;8694;14602;16858;13171;13248
728;8774;14661;16927;13269;13269
729;8772;14641;16866;13275;13267
730;8783;14682;16887;13265;13322
731;8790;14668;16945;13275;13317
732;8790;14757;16924;13344;13324
733;8843;14762;16982;13367;13368
734;8853;14838;16998;13301;13412
735;8880;14822;17019;13391;13412
736;8889;14820;17060;13384;13439
737;8906;14872;17133;13435;13457
738;8868;14850;17126;13447;13476
739;8921;14906;17191;13444;13486
740;8925;14917;17130;13527;13510
741;8980;14992;17181;13529;13506
742;8942;14987;17218;13517;13557
743;8973;15015;17209;13552;13569
744;9023;15028;17306;13541;13586
745;9002;15018;17307;13567;13610
746;8987;15077;17299;13598;13633
747;9032;15092;17336;13614;13661
748;9029;15063;17381;13667;13669
749;9074;15193;17388;13682;13699
750;9044;15162;17391;13682;13725
751;9043;15158;17462;13710;13732
752;9125;15220;17488;13726;13755
753;9112;15227;17510;13748;13753
754;9096;15284;17488;13772;13796
755;9121;15275;17538;13776;13831
756;9131;15309;17556;13810;13823
757;9185;15347;17571;13823;13839
758;9215;15359;17671;13865;13869
