n;RN;AVL;B-1;B-5;B-10
564;6555;10915;0;0;0
565;6612;10924;0;0;0
566;6613;10971;0;0;0
567;6612;11021;0;0;0
568;6636;11012;0;0;0
569;6643;11059;0;0;0
570;6692;11068;0;0;0
571;6675;11062;0;0;0
572;6690;11093;0;0;0
573;6689;11088;0;0;0
574;6710;11177;0;0;0
575;6759;11192;0;0;0
576;6776;11238;0;0;0
577;6754;11202;0;0;0
578;6787;11280;0;0;0
579;6783;11284;0;0;0
580;6779;11249;0;0;0
581;6828;11311;0;0;0
582;6837;11356;0;0;0
583;6802;11333;0;0;0
584;6861;11395;0;0;0
585;6870;11381;0;0;0
586;6868;11441;0;0;0
587;6868;11477;0;0;0
588;6907;11492;0;0;0
589;6934;11510;0;0;0
590;6934;11502;0;0;0
591;6916;11524;0;0;0
592;6976;11569;0;0;0
593;6950;11568;0;0;0
594;7026;11621;0;0;0
595;6975;11572;0;0;0
596;7005;11624;0;0;0
597;7068;11719;0;0;0
598;7029;11746;0;0;0
599;7047;11702;0;0;0
600;7047;11721;0;0;0
601;7076;11808;0;0;0
602;7110;11825;0;0;0
603;7075;11805;0;0;0
604;7077;11821;0;0;0
605;7148;11883;0;0;0
606;7156;11877;0;0;0
607;7143;11880;0;0;0
608;7138;11911;0;0;0
609;7162;11907;0;0;0
610;7173;11943;0;0;0
611;7205;11984;0;0;0
612;7229;12037;0;0;0
613;7207;12050;0;0;0
614;7203;12019;0;0;0
615;7301;12114;0;0;0
616;7295;12110;0;0;0
617;7253;12128;0;0;0
618;7306;12166;0;0;0
619;7326;12182;0;0;0
620;7282;12195;0;0;0
621;7309;12185;0;0;0
622;7351;12199;0;0;0
623;7365;12249;0;0;0
624;7344;12275;0;0;0
625;7379;12302;0;0;0
626;7427;12318;0;0;0
627;7446;12415;0;0;0
628;7457;12379;0;0;0
629;7463;12377;0;0;0
630;7433;12386;0;0;0
631;7470;12407;0;0;0
632;7496;12426;0;0;0
633;7505;12512;0;0;0
634;7494;12511;0;0;0
635;7511;12549;0;0;0
636;7528;12559;0;0;0
637;7568;12626;0;0;0
638;7584;12604;0;0;0
639;7583;12607;0;0;0
640;7579;12645;0;0;0
641;7625;12693;0;0;0
642;7606;12659;0;0;0
643;7665;12724;0;0;0
644;7630;12746;0;0;0
645;7640;12785;0;0;0
646;7652;12798;0;0;0
647;7640;12803;0;0;0
648;7697;12809;0;0;0
649;7724;12832;0;0;0
650;7725;12861;0;0;0
651;7722;12897;0;0;0
652;7758;12945;0;0;0
653;7789;12946;0;0;0
654;7767;12982;0;0;0
655;7790;12959;0;0;0
656;7791;12985;0;0;0
657;7830;13045;0;0;0
658;7844;13059;0;0;0
659;7855;13089;0;0;0
660;7890;13087;0;0;0
661;7899;13153;0;0;0
662;7911;13147;0;0;0
663;7893;13127;0;0;0
664;7968;13234;0;0;0
665;7922;13210;0;0;0
666;7959;13213;0;0;0
667;7930;13247;0;0;0
668;7969;13250;0;0;0
669;7972;13308;0;0;0
670;7972;13335;0;0;0
671;7991;13333;0;0;0
672;8051;13410;0;0;0
673;7989;13384;0;0;0
674;8062;13412;0;0;0
675;8038;13423;0;0;0
676;8053;13462;0;0;0
677;8089;13461;0;0;0
678;8064;13543;0;0;0
679;8046;13450;0;0;0
680;8129;13562;0;0;0
681;8153;13563;0;0;0
682;8155;13650;0;0;0
683;8146;13594;0;0;0
684;8199;13669;0;0;0
685;8207;13654;0;0;0
686;8227;13683;0;0;0
687;8215;13689;0;0;0
688;8224;13667;0;0;0
689;8224;13753;0;0;0
690;8272;13789;0;0;0
691;8256;13743;0;0;0
692;8327;13858;0;0;0
693;8323;13861;0;0;0
694;8332;13900;0;0;0
695;8328;13947;0;0;0
696;8357;13953;0;0;0
697;8334;13900;0;0;0
698;8365;13950;0;0;0
699;8356;13965;0;0;0
700;8341;14032;0;0;0
701;8385;14073;0;0;0
702;8421;14017;0;0;0
703;8436;14138;0;0;0
704;8457;14093;0;0;0
705;8445;14143;0;0;0
706;8467;14153;0;0;0
707;8516;14176;0;0;0
708;8531;14231;0;0;0
709;8545;14258;0;0;0
710;8574;14221;0;0;0
711;8559;14299;0;0;0
712;8528;14252;0;0;0
713;8591;14293;0;0;0
714;8575;14344;0;0;0
715;8609;14350;0;0;0
716;8565;14378;0;0;0
717;8636;14395;0;0;0
718;8676;14493;0;0;0
719;8658;14475;0;0;0
720;8699;14514;0;0;0
721;8676;14480;0;0;0
722;8729;14552;0;0;0
723;8705;14540;0;0;0
724;8713;14558;0;0;0
725;8753;14575;0;0;0
726;8789;14650;0;0;0
727;8755;14617;0;0;0
728;8751;14658;0;0;0
729;8776;14675;0;0;0
730;8775;14725;0;0;0
731;8799;14705;0;0;0
732;8807;14739;0;0;0
733;8855;14768;0;0;0
734;8877;14780;0;0;0
735;8871;14763;0;0;0
736;8851;14811;0;0;0
737;8903;14899;0;0;0
738;8873;14840;0;0;0
739;8896;14898;0;0;0
740;8942;14999;0;0;0
741;8944;14967;0;0;0
742;8966;15006;0;0;0
743;8979;15027;0;0;0
744;8974;15002;0;0;0
745;9004;15090;0;0;0
746;9062;15154;0;0;0
747;9055;15120;0;0;0
748;9031;15148;0;0;0
749;9082;15162;0;0;0
750;9057;15173;0;0;0
751;9089;15213;0;0;0
752;9099;15229;0;0;0
753;9157;15277;0;0;0
754;9097;15247;0;0;0
755;9133;15277;0;0;0
756;9152;15293;0;0;0
757;9170;15307;0;0;0
758;9187;15399;0;0;0
759;9181;15381;0;0;0
760;9180;15386;0;0;0
761;9224;15433;0;0;0
762;9237;15402;0;0;0
763;9251;15466;0;0;0
764;9265;15458;0;0;0
765;9328;15545;0;0;0
766;9282;15533;0;0;0
