n;RN;AVL;B-1;B-5;B-10
426;0;0;5405;4193;3929
427;0;0;5435;4111;3915
428;0;0;5416;4095;3919
429;0;0;5508;4119;3944
430;0;0;5391;4082;3945
431;0;0;5556;4216;3997
432;0;0;5602;4286;4052
433;0;0;5536;4139;3961
434;0;0;5675;4348;4068
435;0;0;5515;4219;4036
436;0;0;5733;4351;4065
437;0;0;5674;4256;4060
438;0;0;5680;4343;4067
439;0;0;5686;4241;4096
440;0;0;5705;4324;4138
441;0;0;5760;4348;4126
442;0;0;5607;4289;4098
443;0;0;5819;4407;4137
444;0;0;5849;4403;4142
445;0;0;5797;4356;4160
446;0;0;5801;4447;4244
447;0;0;5897;4441;4266
448;0;0;5907;4443;4248
449;0;0;5918;4392;4182
450;0;0;5918;4430;4236
451;0;0;5868;4427;4195
452;0;0;5748;4418;4221
453;0;0;5899;4495;4274
454;0;0;5829;4505;4253
455;0;0;5986;4520;4296
456;0;0;6003;4475;4267
457;0;0;5964;4475;4300
458;0;0;5985;4558;4331
459;0;0;5909;4631;4368
460;0;0;5912;4476;4272
461;0;0;5988;4528;4379
462;0;0;6105;4589;4391
463;0;0;6100;4598;4415
464;0;0;6042;4589;4353
465;0;0;6159;4581;4436
466;0;0;6099;4680;4387
467;0;0;6088;4652;4403
468;0;0;6295;4683;4473
469;0;0;6171;4637;4494
470;0;0;6093;4585;4433
471;0;0;6249;4725;4479
472;0;0;6186;4655;4430
473;0;0;6362;4808;4545
474;0;0;6256;4703;4493
475;0;0;6206;4670;4615
476;0;0;6304;4827;4549
477;0;0;6183;4730;4529
478;0;0;6299;4729;4564
479;0;0;6293;4807;4610
480;0;0;6432;4856;4620
481;0;0;6274;4787;4593
482;0;0;6351;4880;4664
483;0;0;6417;4808;4608
484;0;0;6470;4837;4626
485;0;0;6332;4799;4621
486;0;0;6387;4905;4650
487;0;0;6447;4851;4698
488;0;0;6455;4897;4662
489;0;0;6310;4854;4611
490;0;0;6531;4985;4738
491;0;0;6425;4905;4718
492;0;0;6608;4975;4776
493;0;0;6564;4963;4722
494;0;0;6532;4957;4769
495;0;0;6561;4964;4738
496;0;0;6486;4908;4765
497;0;0;6591;4983;4810
498;0;0;6557;5035;4804
499;0;0;6576;4974;4767
500;0;0;6597;5005;4789
501;0;0;6719;5052;4892
502;0;0;6686;5122;4897
503;0;0;6813;5131;4833
504;0;0;6650;5061;4861
505;0;0;6752;5109;4892
506;0;0;6790;5148;4896
507;0;0;6839;5152;4958
508;0;0;6789;5110;4941
509;0;0;6837;5066;4875
510;0;0;6820;5184;4967
511;0;0;6805;5206;4958
512;0;0;6992;5348;5073
513;0;0;6853;5152;4985
514;0;0;6911;5187;5027
515;0;0;6850;5199;4970
516;0;0;6927;5239;5019
517;0;0;7012;5159;5035
518;0;0;6930;5292;5056
519;0;0;7093;5356;5112
520;0;0;6890;5154;5008
521;0;0;7111;5390;5136
522;0;0;7075;5362;5112
523;0;0;7109;5210;5142
524;0;0;6932;5238;5086
525;0;0;6925;5351;5047
526;0;0;6969;5364;5174
527;0;0;7050;5303;5170
528;0;0;7141;5377;5213
529;0;0;7111;5418;5135
530;0;0;7155;5420;5213
531;0;0;7191;5389;5203
532;0;0;7211;5477;5187
533;0;0;7224;5499;5248
534;0;0;7213;5426;5265
535;0;0;7193;5397;5299
536;0;0;7387;5477;5306
537;0;0;7251;5452;5269
538;0;0;7174;5459;5213
539;0;0;7369;5580;5381
540;0;0;7194;5532;5279
541;0;0;7263;5521;5302
542;0;0;7337;5466;5355
543;0;0;7365;5609;5331
544;0;0;7377;5615;5416
545;0;0;7528;5669;5417
546;0;0;7279;5583;5341
547;0;0;7442;5535;5327
548;0;0;7555;5666;5393
549;0;0;7427;5647;5371
550;0;0;7508;5757;5513
551;0;0;7644;5677;5494
552;0;0;7393;5584;5443
553;0;0;7493;5757;5482
554;0;0;7399;5703;5496
555;0;0;7625;5719;5500
556;0;0;7593;5666;5528
557;0;0;7430;5633;5464
558;0;0;7569;5749;5632
559;0;0;7551;5671;5482
560;0;0;7750;5824;5606
561;0;0;7674;5784;5508
562;0;0;7706;5794;5622
563;0;0;7707;5819;5566
564;0;0;7738;5891;5610
565;0;0;7729;5769;5627
566;0;0;7793;5895;5626
567;0;0;7744;5915;5677
568;0;0;7783;5801;5593
569;0;0;7744;5941;5632
570;0;0;7918;5922;5701
571;0;0;7743;5878;5605
572;0;0;7806;5900;5701
573;0;0;7949;5984;5776
574;0;0;7852;5881;5656
575;0;0;7851;5914;5738
576;0;0;7956;5970;5826
577;0;0;7938;5943;5751
578;0;0;8058;5977;5742
579;0;0;8010;6068;5813
580;0;0;8021;5963;5748
581;0;0;8093;6098;5853
582;0;0;7953;6076;5869
583;0;0;8140;5987;5906
584;0;0;7945;6080;5862
585;0;0;8116;6039;5867
586;0;0;8217;6186;5939
587;0;0;8225;6191;5949
588;0;0;7993;6081;5840
589;0;0;8016;6071;5841
590;0;0;8244;6094;5960
591;0;0;8052;6125;5889
592;0;0;8236;6148;6039
593;0;0;8257;6213;5968
594;0;0;8212;6165;5966
595;0;0;8318;6232;5956
596;0;0;8351;6174;5984
597;0;0;8258;6117;5910
598;0;0;8364;6223;6074
599;0;0;8302;6190;5977
600;0;0;8236;6338;6034
601;0;0;8222;6187;5991
602;0;0;8259;6297;6006
603;0;0;8337;6187;6069
604;0;0;8331;6334;6153
605;0;0;8496;6334;6142
606;0;0;8442;6362;6187
607;0;0;8538;6278;6148
608;0;0;8461;6402;6150
609;0;0;8328;6322;6072
610;0;0;8677;6507;6209
611;0;0;8574;6442;6244
612;0;0;8539;6391;6204
613;0;0;8614;6572;6313
614;0;0;8647;6409;6279
615;0;0;8556;6437;6222
616;0;0;8595;6442;6220
617;0;0;8500;6465;6279
618;0;0;8802;6630;6350
619;0;0;8778;6528;6285
620;0;0;8626;6571;6332
621;0;0;8717;6517;6302
622;0;0;8650;6608;6336
623;0;0;8815;6551;6357
624;0;0;8679;6405;6247
625;0;0;8774;6517;6353
626;0;0;8624;6541;6376
627;0;0;8649;6661;6375
628;0;0;8577;6495;6329
629;0;0;8825;6626;6420
630;0;0;8868;6667;6509
631;0;0;8920;6660;6485
632;0;0;8877;6636;6496
633;0;0;8923;6708;6439
634;0;0;8903;6689;6467
635;0;0;9039;6751;6523
636;0;0;8886;6756;6469
637;0;0;8794;6696;6456
638;0;0;8916;6769;6501
639;0;0;9133;6759;6520
640;0;0;8928;6718;6600
641;0;0;9208;6772;6608
642;0;0;8986;6763;6572
643;0;0;8983;6846;6481
644;0;0;9014;6834;6661
645;0;0;9233;6818;6669
646;0;0;9017;6872;6591
647;0;0;9193;6907;6672
648;0;0;8914;6782;6538
649;0;0;9090;6826;6578
650;0;0;9242;7012;6760
651;0;0;9174;6920;6584
652;0;0;9241;6967;6796
653;0;0;9172;6946;6759
654;0;0;9157;6874;6655
655;0;0;9391;6986;6744
656;0;0;9220;6917;6708
657;0;0;9149;6854;6639
658;0;0;9220;7024;6727
659;0;0;9327;7023;6740
660;0;0;9402;7033;6780
661;0;0;9344;6950;6849
662;0;0;9316;6916;6777
663;0;0;9413;7165;6908
664;0;0;9141;6946;6771
665;0;0;9356;7033;6843
666;0;0;9304;7105;6877
667;0;0;9486;7094;6902
668;0;0;9454;7073;6866
669;0;0;9370;7096;6873
670;0;0;9651;7172;6932
671;0;0;9394;7047;6874
672;0;0;9656;7090;6961
673;0;0;9565;7132;6917
674;0;0;9620;7169;6958
675;0;0;9626;7234;6921
676;0;0;9682;7150;6924
677;0;0;9629;7244;7009
678;0;0;9506;7148;6933
679;0;0;9645;7179;6969
680;0;0;9804;7249;7073
681;0;0;9751;7251;7062
682;0;0;9892;7367;7073
683;0;0;9750;7266;6985
684;0;0;9941;7355;7131
685;0;0;9857;7443;7159
686;0;0;9657;7293;7081
687;0;0;9729;7322;7090
688;0;0;9668;7276;7038
689;0;0;9894;7448;7234
690;0;0;9837;7383;7165
691;0;0;9845;7372;7069
692;0;0;10016;7452;7240
693;0;0;9894;7291;7185
694;0;0;9756;7347;7141
695;0;0;9953;7518;7255
696;0;0;10079;7352;7310
697;0;0;10104;7463;7269
698;0;0;10077;7528;7298
699;0;0;9829;7565;7217
700;0;0;10098;7460;7243
701;0;0;9885;7512;7192
702;0;0;10208;7652;7304
703;0;0;10178;7639;7368
704;0;0;10064;7568;7353
705;0;0;10092;7642;7364
706;0;0;10126;7514;7332
707;0;0;10182;7596;7387
708;0;0;10218;7581;7377
709;0;0;9976;7723;7450
710;0;0;10307;7602;7366
711;0;0;10215;7603;7375
712;0;0;10112;7641;7519
713;0;0;10177;7736;7480
714;0;0;10045;7634;7344
715;0;0;10439;7751;7408
716;0;0;10236;7638;7585
717;0;0;10188;7597;7391
718;0;0;10385;7715;7430
719;0;0;10512;7734;7558
720;0;0;10478;7800;7479
721;0;0;10575;7793;7519
722;0;0;10356;7791;7601
723;0;0;10459;7765;7569
724;0;0;10464;7820;7539
725;0;0;10571;7831;7567
726;0;0;10663;8000;7595
727;0;0;10604;7882;7607
728;0;0;10499;7792;7691
729;0;0;10488;7751;7636
730;0;0;10418;7918;7697
731;0;0;10750;7888;7713
732;0;0;10823;7979;7620
733;0;0;10426;7842;7584
734;0;0;10733;7864;7589
735;0;0;10717;7999;7722
736;0;0;10625;8026;7661
737;0;0;10596;7863;7668
738;0;0;10609;7926;7602
739;0;0;10479;7826;7689
740;0;0;10702;7947;7726
741;0;0;10805;8047;7821
742;0;0;10692;8002;7818
743;0;0;11048;8155;7944
744;0;0;10907;8167;7910
745;0;0;10702;7986;7769
746;0;0;10711;7963;7738
747;0;0;10778;8156;7819
748;0;0;10528;8055;7806
749;0;0;11059;8157;7985
750;0;0;10938;8129;7950
751;0;0;10950;8230;7900
752;0;0;11095;8242;8040
753;0;0;11027;8166;8006
754;0;0;10836;8235;7917
755;0;0;11036;8252;7996
756;0;0;11228;8292;7980
757;0;0;11023;8238;7973
758;0;0;10901;8232;7954
759;0;0;11067;8376;8061
760;0;0;10944;8237;8032
761;0;0;10897;8283;7999
762;0;0;11251;8201;8010
763;0;0;10863;8243;8033
764;0;0;11201;8301;8046
765;0;0;11201;8410;8085
766;0;0;11159;8262;8079
767;0;0;11262;8404;8142
768;0;0;11227;8572;8133
769;0;0;11282;8404;8047
770;0;0;11315;8489;8172
771;0;0;11299;8526;8181
772;0;0;11255;8586;8259
773;0;0;11230;8357;8127
774;0;0;11227;8434;8275
775;0;0;11517;8651;8294
776;0;0;11523;8551;8282
777;0;0;11556;8574;8262
778;0;0;11269;8473;8226
779;0;0;11560;8711;8357
780;0;0;11697;8567;8262
781;0;0;11359;8533;8250
782;0;0;11546;8633;8250
783;0;0;11618;8524;8210
784;0;0;11474;8681;8324
785;0;0;11591;8674;8467
786;0;0;11497;8701;8229
787;0;0;11593;8618;8409
788;0;0;11569;8795;8477
789;0;0;11430;8617;8421
790;0;0;11712;8798;8419
791;0;0;11705;8679;8466
792;0;0;11778;8635;8536
793;0;0;11748;8764;8413
794;0;0;11532;8691;8396
795;0;0;11827;8868;8513
796;0;0;11739;8896;8578
797;0;0;11996;8862;8489
798;0;0;11926;8795;8553
799;0;0;11658;8662;8532
800;0;0;11652;8785;8576
801;0;0;11867;8807;8571
802;0;0;11840;9031;8554
803;0;0;12248;8827;8637
804;0;0;11892;8880;8580
805;0;0;12111;9133;8695
806;0;0;11920;8873;8581
807;0;0;12070;9032;8754
808;0;0;12168;9083;8706
809;0;0;12133;8987;8725
810;0;0;11800;8894;8596
811;0;0;12316;9028;8676
812;0;0;11702;8912;8577
813;0;0;11826;8982;8706
814;0;0;11930;8943;8687
815;0;0;12019;8856;8577
816;0;0;12021;8990;8834
817;0;0;12377;9156;8807
818;0;0;11942;9058;8775
819;0;0;11973;9020;8702
820;0;0;12127;9227;8804
821;0;0;12175;9150;8827
822;0;0;12246;9154;8863
823;0;0;12299;9111;8818
824;0;0;11993;9213;8782
825;0;0;12128;9252;8916
826;0;0;12234;9149;8829
827;0;0;12238;9257;8808
828;0;0;12252;9316;8937
829;0;0;12333;9141;8850
830;0;0;12180;9203;8912
831;0;0;12293;9322;9042
832;0;0;12574;9319;8966
833;0;0;12494;9444;9038
834;0;0;12534;9260;8981
835;0;0;12351;9386;8961
836;0;0;12402;9155;8992
837;0;0;12516;9314;9054
838;0;0;12902;9381;9213
839;0;0;12524;9308;9088
840;0;0;12245;9263;8878
841;0;0;12449;9470;9028
842;0;0;12538;9354;9082
843;0;0;12828;9503;9222
844;0;0;12627;9367;9089
845;0;0;12767;9503;9113
846;0;0;12554;9381;9088
847;0;0;12825;9541;9106
848;0;0;12969;9694;9237
849;0;0;12497;9485;9132
850;0;0;12775;9609;9109
851;0;0;12454;9448;9122
852;0;0;12673;9624;9126
853;0;0;12686;9582;9195
854;0;0;12739;9703;9209
855;0;0;13197;9775;9313
856;0;0;12904;9670;9361
857;0;0;12919;9703;9263
858;0;0;13036;9588;9252
859;0;0;12904;9660;9321
860;0;0;12914;9621;9336
861;0;0;12880;9799;9381
862;0;0;12834;9656;9378
863;0;0;12808;9630;9318
864;0;0;12903;9680;9350
865;0;0;13122;9813;9436
866;0;0;13185;9860;9372
867;0;0;12948;9795;9380
868;0;0;13221;9857;9472
869;0;0;13163;9896;9459
870;0;0;13114;9863;9374
871;0;0;13175;9932;9544
872;0;0;13015;9750;9488
873;0;0;13117;9863;9485
874;0;0;13105;9780;9454
875;0;0;13110;10021;9564
876;0;0;13113;10062;9521
877;0;0;13210;9850;9483
878;0;0;13155;10031;9561
879;0;0;13326;9988;9574
880;0;0;13303;10064;9562
881;0;0;13426;10011;9670
882;0;0;13458;10072;9708
883;0;0;13456;10191;9547
884;0;0;13206;9971;9592
885;0;0;13295;9932;9595
886;0;0;13236;9941;9635
887;0;0;13155;10040;9674
888;0;0;13554;10136;9736
889;0;0;13168;9951;9604
890;0;0;13403;10313;9834
891;0;0;13525;10066;9692
892;0;0;13296;10212;9757
893;0;0;13627;10069;9822
894;0;0;13766;10323;9855
895;0;0;13626;10133;9878
896;0;0;13541;10242;9882
